LUV_angle	correctR	correctG	correctB	linearR	linearG	linearB
0	245	193	202	0.93076	0.54188	0.59975
10	244	194	195	0.92216	0.54956	0.55783
20	243	196	189	0.90487	0.55933	0.51874
30	239	198	183	0.87964	0.57086	0.4835
40	235	200	178	0.84738	0.58378	0.45301
50	230	201	173	0.80914	0.59771	0.42798
60	225	204	169	0.76605	0.61225	0.40895
70	218	206	167	0.71931	0.62702	0.39633
80	212	208	166	0.67016	0.64163	0.39036
90	204	210	166	0.61989	0.65572	0.39115
100	196	212	168	0.56976	0.66893	0.39865
110	189	214	170	0.52106	0.68091	0.4127
120	181	215	174	0.47504	0.69136	0.43298
130	173	216	179	0.43293	0.69998	0.45905
140	166	217	184	0.39592	0.70651	0.4903
150	160	218	190	0.3651	0.71073	0.526
160	155	218	197	0.3415	0.71248	0.56526
170	152	218	203	0.32598	0.71162	0.60706
180	150	218	210	0.31924	0.70812	0.65025
190	151	217	216	0.32174	0.70199	0.69355
200	154	216	222	0.33369	0.69335	0.73561
210	159	214	227	0.355	0.6824	0.77503
220	164	212	232	0.38523	0.66944	0.81044
230	172	210	235	0.42357	0.65485	0.84052
240	180	208	238	0.46889	0.63911	0.86413
250	189	205	240	0.51971	0.62274	0.88029
260	197	203	242	0.57431	0.60633	0.88835
270	206	201	241	0.63075	0.59046	0.88793
280	214	198	240	0.687	0.5757	0.87904
290	221	196	238	0.74104	0.56258	0.86201
300	228	195	235	0.79098	0.55155	0.83753
310	234	193	231	0.83511	0.54298	0.80654
320	238	192	226	0.872	0.53712	0.77024
330	242	192	221	0.90057	0.5341	0.72997
340	244	192	215	0.92008	0.53395	0.68718
350	245	192	209	0.93016	0.5366	0.6433
